sample_id,sample_name,sample,control_status,fastq_filepath,raw_total_sequences,reads_mapped,error_rate,average_quality,percent_mapped,percent_peptides_detected,percent_peptides_between_10_and_100
207,VS56_188_rep1_S332_R1_001,VS56_188,empirical,VS56_188_rep1_S332_R1_001.fastq.gz,1489915,110080,0.001860465,33.5,7.388340945624415,83.10732833237161,47.59088286208886
208,VS56_189_rep1_S333_R1_001,VS56_189,empirical,VS56_189_rep1_S333_R1_001.fastq.gz,1527747,101519,0.001842611,33.5,6.645013866824807,84.54991344489325,49.04789382573572
209,VS56_189_rep2_S381_R1_001,VS56_189,empirical,VS56_189_rep2_S381_R1_001.fastq.gz,1519123,57317,0.001849364,33.5,3.7730322034489636,85.8193883439123,29.789382573571842
210,VS56_19_rep1_S19_R1_001,VS56_19,empirical,VS56_19_rep1_S19_R1_001.fastq.gz,1305255,22537,0.002057062,33.5,1.7266357914736967,65.56549336410849,8.237160992498557
211,VS56_19_rep2_S67_R1_001,VS56_19,empirical,VS56_19_rep2_S67_R1_001.fastq.gz,906684,84757,0.001894357,33.5,9.348019817268199,90.45008655510675,43.09001731102135
212,VS56_190_rep2_S382_R1_001,VS56_190,empirical,VS56_190_rep2_S382_R1_001.fastq.gz,1533617,64161,0.001926092,33.5,4.183639070250265,89.33929601846509,34.17484131563762
213,VS56_190_rep1_S334_R1_001,VS56_190,empirical,VS56_190_rep1_S334_R1_001.fastq.gz,1601584,92466,0.001941687,33.5,5.773409324768479,83.46797461050201,44.60473167916907
214,VS56_191_rep2_S383_R1_001,VS56_191,empirical,VS56_191_rep2_S383_R1_001.fastq.gz,1330214,83288,0.001858851,33.5,6.261248190140835,85.4731679169071,42.974610502019615
215,VS56_191_rep1_S335_R1_001,VS56_191,empirical,VS56_191_rep1_S335_R1_001.fastq.gz,1366595,53598,0.001833277,33.5,3.92201054445538,72.95152914021928,28.216964800923254
216,VS56_192_rep1_S336_R1_001,VS56_192,empirical,VS56_192_rep1_S336_R1_001.fastq.gz,1410680,103365,0.001752624,33.5,7.3273173221425125,77.39469128678593,40.493364108482396
217,VS56_192_rep2_S384_R1_001,VS56_192,empirical,VS56_192_rep2_S384_R1_001.fastq.gz,1455260,47933,0.001798343,33.5,3.2937756826958755,80.5395268320831,23.442008078476633
218,VS56_2_rep2_S50_R1_001,VS56_2,empirical,VS56_2_rep2_S50_R1_001.fastq.gz,1107122,17874,0.001865279,33.5,1.614456220723642,56.41950375072129,6.491633006347374
219,VS56_2_rep1_S2_R1_001,VS56_2,empirical,VS56_2_rep1_S2_R1_001.fastq.gz,909954,27657,0.001924287,33.5,3.0393844084426247,70.74437391806117,11.252163877668782
